id,name,neighbourhood,latitude,longitude,host_id,host_name,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,ratings,bedrooms,beds,baths
25332700,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,3714,1,15,0.24,161,4.47,1.0,1.0,1.0
26014705,Rental unit in Sumida-ku,Sumida Ku,35.71045,139.81567,195501603,T-Home,Entire home/apt,15143,1,69,1.14,141,4.7,1.0,2.0,1.0
25333255,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,3714,1,26,0.42,76,4.27,1.0,1.0,1.0
26015826,Rental unit in Sumida-ku,Sumida Ku,35.71017,139.81348,195501603,T-Home,Entire home/apt,30143,1,169,2.78,76,4.76,2.0,3.0,1.0
25341447,Rental unit in Toshima-ku,Kita Ku,35.74003,139.74675,48739707,Maki Nicestaytokyo,Entire home/apt,18844,1,55,0.92,265,4.65,2.0,4.0,1.0
26015847,Condo in Toshima-ku,Toshima Ku,35.73405,139.72662,195536686,奕任,Entire home/apt,23000,2,50,0.82,20,4.78,3.0,5.0,1.0
25356821,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,3714,1,38,0.63,77,4.47,1.0,1.0,1.0
26017275,ryokan in 荒川区東日暮里,Arakawa Ku,35.73281,139.77694,85022417,Kiyoshi,Private room,14071,1,11,0.18,89,4.91,1.0,2.0,1.0
25361285,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,3714,1,14,0.24,161,4.15,1.0,1.0,1.0
26017660,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,30000,1,21,0.35,78,4.38,1.0,4.0,1.0
25377337,Boutique hotel in 中央区,Chuo Ku,35.67128,139.77768,40200307,Hotel Vintage,Private room,27333,1,773,14.03,348,4.77,1.0,3.0,1.0
26043173,ryokan in 荒川区東日暮里,Arakawa Ku,35.73107,139.77522,85022417,Kiyoshi,Private room,16429,1,8,0.14,83,4.88,1.0,2.0,1.0
25384320,Condo in Kōhoku Adachi-ku,Adachi Ku,35.7828,139.76106,91758240,Maiko,Private room,5182,2,64,1.03,177,4.73,1.0,2.0,1.0
25385957,Rental unit in Adachi-ku,Adachi Ku,35.78259,139.76108,91758240,Maiko,Private room,5223,2,77,1.25,185,4.82,1.0,1.0,1.0
26043474,ryokan in 荒川区東日暮里,Arakawa Ku,35.7315,139.77685,85022417,Kiyoshi,Private room,14286,1,3,0.05,52,5.0,1.0,1.0,1.0
25386217,Rental unit in Adachi-ku,Adachi Ku,35.78259,139.76108,91758240,Maiko,Private room,5182,2,53,0.87,207,4.72,1.0,2.0,1.0
26043620,ryokan in 荒川区東日暮里,Arakawa Ku,35.73103,139.77514,85022417,Kiyoshi,Private room,16357,1,11,0.18,82,4.82,1.0,2.0,1.0
25389822,Home in 杉並区,Suginami Ku,35.6768,139.6612,191676897,Studio-R,Private room,8000,2,73,1.19,7,4.95,1.0,1.0,1.0
26053870,Hut in Ōta-ku,Ota Ku,35.5481071472168,139.74549865722656,33960674,Yuka,Private room,29000,1,11,0.2,8,5.0,1.0,2.0,2.0
25408777,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,18857,1,33,0.55,137,4.34,1.0,5.0,1.0
26169664,Home in Koganei-shi,Koganei Shi,35.69239,139.52109,196701972,Masami,Private room,10153,1,74,1.29,42,4.95,1.0,1.0,1.0
25409602,Hostel in Shinjuku-ku,Shinjuku Ku,35.71531,139.68657,178158779,Weollim,Hotel room,5429,1,21,0.34,128,4.1,1.0,3.0,1.0
26204909,Rental unit in Shinjuku,Shinjuku Ku,35.686343588372935,139.71692582191088,196958344,Shinjuku,Entire home/apt,23713,6,50,0.83,64,4.46,1.0,3.0,1.0
25413745,Rental unit in Shinagawa-ku,Shinagawa Ku,35.61071,139.71784,42808108,Mie,Entire home/apt,12000,2,31,0.52,214,4.97,2.0,3.0,1.0
26205080,Rental unit in Shibuya-ku,Nakano Ku,35.69259,139.68364,16795060,Rena,Entire home/apt,10000,3,53,0.94,51,4.83,1.0,1.0,1.0
25474017,Rental unit in Minato-ku,Minato Ku,35.66392,139.73698,134083708,Deko,Entire home/apt,7500,7,28,0.47,143,4.07,1.0,1.0,1.0
26234205,Rental unit in Tokyo,Shinjuku Ku,35.6978,139.7199,8439950,Yash,Entire home/apt,29800,21,12,0.2,217,4.73,1.0,2.0,1.0
26242834,Hut in Taitō,Taito Ku,35.70274,139.79114,194366320,Isa And Yumi,Shared room,6750,1,26,0.44,90,5.0,1.0,2.0,4.0
25495506,Hotel in 台東区,Taito Ku,35.69774,139.78821,192419150,Web,Hotel room,9957,2,79,1.32,177,4.82,1.0,1.0,1.0
25499013,Rental unit in Itabashi,Itabashi Ku,35.7656,139.70546,25867827,Ikuko,Private room,10500,3,23,0.46,139,4.83,1.0,1.0,1.0
26246171,Rental unit in Chiyoda-ku,Chiyoda Ku,35.69936,139.77474,105077504,冰儿,Entire home/apt,39800,2,4,4.0,297,5.0,4.0,4.0,3.0
26246880,Home in Toshima-ku,Toshima Ku,35.73743,139.69879,71920606,Ying,Entire home/apt,30800,1,52,0.86,35,4.79,4.0,5.0,1.0
25580667,Rental unit in 渋谷区,Shibuya Ku,35.65921,139.69608,159032482,Masa,Entire home/apt,25000,2,150,2.51,135,4.89,1.0,1.0,1.0
25649972,Condo in Kita-ku,Kita Ku,35.73978,139.74881,193171483,Liyan,Private room,4714,1,64,1.06,354,4.61,1.0,1.0,1.0
26283219,Hostel in Taitō-ku,Taito Ku,35.701397,139.78447,127485371,Chisato,Shared room,5554,1,24,0.4,329,4.58,1.0,6.0,7.0
26283497,Hostel in Taitō-ku,Taito Ku,35.701397,139.78447,127485371,Chisato,Shared room,4717,1,48,0.8,257,4.79,1.0,10.0,7.0
25663133,Home in Toshima-ku,Toshima Ku,35.73511,139.71086,47351653,Hiro.,Entire home/apt,38429,1,26,0.42,198,4.31,2.0,10.0,1.0
26308123,Hut in Ōta-ku,Ota Ku,35.58971,139.67999,40176986,Tomoko,Private room,20771,2,3,0.05,179,5.0,6.0,6.0,2.0
25693184,Hostel in Tokyo,Katsushika Ku,35.75235,139.86814,193360373,Tak,Hotel room,2114,1,56,0.96,34,4.82,1.0,1.0,3.0
26336619,Rental unit in Shinjuku City,Shibuya Ku,35.68872,139.70109,14060843,Letitia,Entire home/apt,20500,28,27,0.53,195,4.74,3.0,4.0,1.0
25694475,Hostel in Tokyo,Katsushika Ku,35.75264,139.87032,193360373,Tak,Hotel room,6343,1,15,0.25,56,4.8,1.0,3.0,3.0
25717495,Hostel in Tokyo,Katsushika Ku,35.75319,139.87037,193360373,Tak,Hotel room,4229,1,47,0.77,56,4.79,1.0,2.0,3.0
26343528,Rental unit in Taitō-ku,Taito Ku,35.71521,139.78428,50718640,Kentaro & Family,Entire home/apt,20200,2,87,1.45,34,4.95,2.0,4.0,1.0
26349236,Hotel in Taitō-ku,Taito Ku,35.69773,139.78822,192419150,Web,Hotel room,8829,2,90,1.61,86,4.71,1.0,1.0,1.0
25740904,Boutique hotel in Chūō-ku,Chuo Ku,35.68394,139.78528,169464874,Etao,Hotel room,63964,3,63,1.03,74,4.92,3.0,2.0,1.0
26360238,Rental unit in Shibuya-ku,Shibuya Ku,35.65357,139.71082,58033573,Anon,Entire home/apt,39950,1,35,0.58,27,4.43,1.0,2.0,1.0
25761270,Home in Ōta-ku,Ota Ku,35.54853,139.74657,33960674,Yuka,Private room,27857,1,33,0.54,8,4.97,1.0,2.0,1.0
25770574,Home in 葛飾区,Katsushika Ku,35.74761,139.82606,138720902,Toori,Entire home/apt,30000,2,89,1.46,199,4.91,4.0,7.0,2.0
26361132,Rental unit in Shibuya-ku,Shibuya Ku,35.65276,139.70844,58033573,Anon,Entire home/apt,46386,1,63,1.04,24,4.63,1.0,3.0,1.0
25784847,Rental unit in Meguro-ku,Meguro Ku,35.63893,139.69364,193217620,Yuki & Sosuke,Entire home/apt,11000,1,136,2.22,22,4.82,1.0,2.0,1.0
25787136,Hostel in 中央区,Chuo Ku,35.69105,139.7809,141952115,Obi,Hotel room,5786,1,44,0.76,355,4.55,1.0,1.0,7.0
25789444,Hostel in 中央区,Chuo Ku,35.69121,139.78073,141952115,Obi,Hotel room,5786,1,69,1.17,361,4.57,1.0,1.0,7.0
26390530,Rental unit in Shibuya-ku,Shibuya Ku,35.65273,139.70995,58033573,Anon,Entire home/apt,69457,2,68,1.12,22,4.6,1.0,2.0,1.0
26391123,Rental unit in Shibuya-ku,Shibuya Ku,35.65482,139.71028,58033573,Anon,Entire home/apt,29143,1,38,0.63,30,4.66,1.0,1.0,1.0
25826930,"Hostel in Shinagawa-ku, Tokyo",Shinagawa Ku,35.61976,139.71608,174891991,Satoshi,Shared room,10143,1,32,0.53,7,4.94,1.0,4.0,1.0
25845138,Rental unit in Shinjuku-ku,Shinjuku Ku,35.69982,139.68895,14060843,Letitia,Entire home/apt,9500,28,10,0.18,23,4.8,1.0,2.0,1.0
25847053,Hut in Ōta-ku,Ota Ku,35.59008,139.68179,40176986,Tomoko,Private room,11586,2,7,0.12,179,4.43,6.0,2.0,2.0
26405681,Boutique hotel in Nakano-ku,Nakano Ku,35.70852,139.68669,179911926,Yuki,Hotel room,21143,1,144,2.4,81,4.91,1.0,2.0,1.0
26414602,Rental unit in 台東区,Taito Ku,35.71125,139.78856,198618651,Itoe,Entire home/apt,24800,1,187,3.08,121,4.71,2.0,4.0,1.0
26416639,Rental unit in 台東区,Taito Ku,35.70935,139.78976,198618651,Itoe,Entire home/apt,25229,1,177,2.92,128,4.67,2.0,4.0,1.0
26417302,Rental unit in 台東区,Taito Ku,35.71136,139.78906,198618651,Itoe,Entire home/apt,24229,1,106,1.75,165,4.69,2.0,4.0,1.0
25871823,Home in Shinjuku-ku,Shinjuku Ku,35.69775,139.68897,20428996,Mizuki,Entire home/apt,42143,2,113,1.89,134,4.98,3.0,9.0,2.0
26418035,Rental unit in 台東区,Taito Ku,35.71054,139.79045,198618651,Itoe,Entire home/apt,24800,1,108,1.78,169,4.64,2.0,4.0,1.0
25872109,Home in Edogawa,Edogawa Ku,35.73672,139.89642,194387843,Miki,Entire home/apt,21624,2,40,0.68,6,5.0,4.0,6.0,2.0
26418319,Rental unit in 台東区,Taito Ku,35.70984,139.78865,198618651,Itoe,Entire home/apt,24800,1,137,2.25,154,4.81,2.0,4.0,1.0
25899252,Guest suite in Minato-ku,Minato Ku,35.63442,139.73579,106692899,Kunio & Hiro,Entire home/apt,12000,2,61,1.04,26,4.87,1.0,2.0,1.0
25905100,Hut in 台東区,Taito Ku,35.70271,139.79109,194366320,Isa And Yumi,Private room,18000,1,9,0.15,55,5.0,1.0,4.0,4.0
26436023,Home in Toshima-ku,Itabashi Ku,35.74014,139.70575,198786855,Yamamoto,Entire home/apt,10759,2,50,0.83,125,4.32,3.0,5.0,1.0
25920125,Hostel in Ōta-ku,Ota Ku,35.55262,139.73989,86175034,俊行 Toshiyuki,Shared room,5857,2,30,0.49,61,4.9,1.0,12.0,1.0
25920775,Home in 台東区,Taito Ku,35.70568,139.78075,194818336,Ueno Family,Entire home/apt,74857,2,50,0.82,86,4.78,3.0,11.0,3.0
25924246,Hostel in 大田区,Ota Ku,35.55271,139.73965,86175034,俊行 Toshiyuki,Shared room,6143,2,29,0.47,61,4.83,1.0,8.0,2.0
25924772,Hostel in Taitō-ku,Taito Ku,35.7119,139.78533,194869594,Kura,Hotel room,5414,1,514,8.42,4,4.68,1.0,36.0,4.0
25925091,Loft in Sumida-ku,Sumida Ku,35.71555,139.81136,47226565,Christian,Entire home/apt,15000,3,35,0.57,187,5.0,1.0,2.0,1.0
25926274,Hostel in Taitō-ku,Taito Ku,35.701397,139.78447,127485371,Chisato,Shared room,4717,1,43,0.72,332,4.74,1.0,10.0,7.0
25954021,Home in Shibuya-ku,Shibuya Ku,35.65964,139.69463,195093920,Yuri,Entire home/apt,47086,1,276,4.56,171,4.59,3.0,7.0,2.0
25964934,Rental unit in Toshima-ku,Toshima Ku,35.73782,139.74837,97958809,尚子,Entire home/apt,12893,1,62,1.02,149,4.53,1.0,1.0,1.0
25978974,Home in Sumida,Sumida Ku,35.71037,139.80464,195258951,元春,Entire home/apt,39286,2,63,1.05,76,4.87,2.0,2.0,2.0
26686211,Condo in Kita-ku,Kita Ku,35.74045,139.74691,193171483,Liyan,Private room,4043,1,68,1.14,333,4.56,1.0,2.0,1.0
26686347,Condo in Kita-ku,Kita Ku,35.73916,139.74857,193171483,Liyan,Private room,4714,1,53,0.88,351,4.58,1.0,1.0,1.0
26459880,Home in Sumida-ku,Koto Ku,35.68787,139.80048,183877565,UI Home Company,Entire home/apt,21325,2,53,0.88,137,4.4,1.0,3.0,1.0
26686535,Condo in Kita City,Toshima Ku,35.73894,139.74692,193171483,Liyan,Private room,5100,1,103,1.71,325,4.52,1.0,1.0,1.0
26686660,Condo in Kita-ku,Toshima Ku,35.73857,139.74693,193171483,Liyan,Private room,4943,1,65,1.08,329,4.54,1.0,1.0,1.0
26477651,Rental unit in Ota-ku,Ota Ku,35.56883,139.71264,63598456,Spring,Entire home/apt,14700,1,80,1.33,81,4.43,2.0,4.0,1.0
26722638,Rental unit in Nakano,Nakano Ku,35.72189,139.64363,200951335,Chiehyao,Entire home/apt,15929,2,47,0.79,52,4.79,3.0,4.0,1.0
26478801,Hut in 台東区,Taito Ku,35.70271,139.79109,194366320,Isa And Yumi,Private room,14143,1,62,1.02,43,4.97,1.0,2.0,4.0
26753273,Rental unit in Nakano-ku,Nakano Ku,35.72251,139.64465,200951335,Chiehyao,Entire home/apt,10143,2,68,1.14,53,4.81,1.0,3.0,1.0
26757242,Rental unit in Shinjuku-ku,Shinjuku Ku,35.69698,139.70063,201210320,Take,Entire home/apt,16286,1,34,0.59,8,4.44,1.0,1.0,1.0
26757283,Rental unit in Kita-ku,Toshima Ku,35.73884,139.74676,193171483,Liyan,Private room,3600,1,111,1.9,330,4.54,1.0,1.0,1.0
